batteryHealth;binId;binStatus;currentFillLevel;latLong;timesTamp
100;CleanFLEX-FB2000002008AC04;Half Full;50;-33.919505,151.257857;2021-09-22 01:00:05
100;CleanFLEX-FB2000002008AC06;Full;88;-33.91947,151.257542;2021-09-22 01:00:05
95;CleanFLEX-FB2000002008AC20;Half Full;32;-33.920372,151.257036;2021-09-22 01:00:05
95;CleanFLEX-FB2000002005AB66;Low;10;-33.920944,151.257001;2021-09-22 01:00:05
95;CleanFLEX-FB2000002005AB64;Low;18;-33.920816,151.257022;2021-09-22 01:00:05
100;CleanFLEX-FB2000002008AC02;Half Full;30;-33.920227,151.257692;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC03;Low;16;-33.918951,151.25847;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC01;Half Full;63;-33.919135,151.258104;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC05;Half Full;55;-33.919505,151.257857;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC12;Half Full;61;-33.919727,151.257213;2021-09-22 02:00:05
95;CleanFLEX-FB2000002005AB67;Low;14;-33.920816,151.257022;2021-09-22 02:00:05
95;CleanFLEX-FB2000002005AB68;Low;29;-33.919477,151.257681;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC17;Low;12;-33.91947,151.257542;2021-09-22 02:00:05
95;CleanFLEX-FB2000002005AB63;Low;8;-33.919505,151.257857;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC14;Half Full;37;-33.920358,151.257167;2021-09-22 02:00:05
95;CleanFLEX-FB2000002005AB69;Half Full;34;-33.920227,151.257692;2021-09-22 02:00:05
95;CleanFLEX-FB2000002005AB70;Low;15;-33.919555,151.258164;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC16;Low;17;-33.919477,151.257681;2021-09-22 02:00:05
95;CleanFLEX-FB2000002005AB65;Low;14;-33.920944,151.257001;2021-09-22 02:00:05
100;CleanFLEX-FB2000002008AC15;Low;0;-33.920358,151.257167;2021-09-22 02:00:05
